unique_id,document,tag_0,tag_1,tag_2,source,group,document_length,label
59,"The audience for this Workbook is professionals at organizations that manage environmental resources,  especially organizations with a coastal or watershed focus. They are knowledgeable about their systems  but not necessarily sophisticated about climate science or risk management. They may be addressing a  myriad of issues that require immediate attention and have limited time to focus on adaptation planning  for the future. Furthermore, they may need to adapt to climate change impacts within their organizations  existing resources. Despite these challenges, managers who realize that climate change will affect their  ability to meet their goals will see the need to incorporate climate change risk into their planning.",GUIDE PURPOSE AND OBJECTIVES,Guide Purpose Statement,NA,A2 - EPA 2014 risk based adaptation planning_workbook,Climate Adaptation,727,Set Goals and Objectives
60,"This Workbook helps meet the need for guidance on conducting climate change vulnerability  assessments at a watershed scale, provides decision-support tools, helps people plan climate change  adaptation strategies, and builds the capacity of local environmental managers. The Workbook helps EPA  to fulfill the commitments that it has made to assist local and regional organizations to effectively plan for  climate change impacts. An organizations own goals and an understanding of the political and ecological context in which  it operates are essential pieces of the process. This Workbook helps managers to systematically and  progressively develop and build that information into an action plan. When users have gone through the  Workbook, they will have produced a planning-level document that can guide their responses to climate  change risks. This will help them anticipate change and reach their organizational goals.",GUIDE PURPOSE AND OBJECTIVES,Guide Outcomes,NA,A2 - EPA 2014 risk based adaptation planning_workbook,Climate Adaptation,927,Set Goals and Objectives
61,"Who Should Use This Workbook? This methodology is appropriate for any type of place-based  planningincluding hazard mitigation. However, the Workbook was designed with environmental professionals who manage  watersheds or coastal places and protect the health of aquatic  ecosystems as its main audience. This Workbook assumes that  users:   represent an organization that has environmental goals or  objectives;  start with some sense that climate change will pose a threat  to what their organization is trying to accomplish;  are comfortable using science to inform decision-making; and  have sufficient knowledge of their environmental system (or can partner with those who do) to  understand how climate changes may affect the way it functions.",GUIDE PURPOSE AND OBJECTIVES,Guide Purpose Statement,NA,A2 - EPA 2014 risk based adaptation planning_workbook,Climate Adaptation,749,Set Goals and Objectives
66,"Vulnerability Assessments A vulnerability assessment is an understanding of how climate change will uniquely affect your  organization. The organization is the center of attention, and the reasons why it exists (i.e., its purpose,  mission, goals or objectives) are the base units of the vulnerability assessment.  Organizational goals are the focus of concern. Goals are why organizations exist and what motivates  them; goals provide a context for changes. The vulnerability assessment half of a risk-based adaptation  plan is different from a climate change impacts study that describes how the future will be different if  the climate is different. An impact that is identified without reference to a goal is just a detail. There is no  context to say it is good or bad or that something should be done about it or not. Context comes from  people or organizations. They can say that an impact will help, hurt or have no effect on what they are  trying to do (Table I-1). If impacts will be unwanted, goals might still be attainable if risk-reducing actions  can be implemented.",COMMUNITY GOAL SETTING AND COORDINATION,Community Goals Identification,NA,A2 - EPA 2014 risk based adaptation planning_workbook,Climate Adaptation,1081,Set Goals and Objectives
68,The Workbook has five steps that lead to a climate change vulnerability assessment:  Step 1Communication and Consultation Informing key people about the vulnerability assessment and asking for input.  Step 2Establishing the Context for the Vulnerability Assessment Identifying organizational goals that are susceptible to climate change.  Step 3Risk Identification Brainstorming about how climate stressors will interact with your goals.  Step 4Risk Analysis Developing an initial characterization of consequence and likelihood for each risk.  Step 5Risk Evaluation: Comparing Risks  Using a consequence/probability matrix to build consensus about each risk.,GUIDE PURPOSE AND OBJECTIVES,Guide Purpose Statement,NA,A2 - EPA 2014 risk based adaptation planning_workbook,Climate Adaptation,658,Set Goals and Objectives
71,"Action Plans An action plan is a document that explains how you will manage your climate change risks. After  completing a vulnerability assessment, you will have identified the risks that have the highest potential to  affect your organizations ability to meet its goals.  The vulnerability assessment process helped you decide which risks to focus on. Now you will identify  actions that might help to decrease those risks and increase the sustainability of your system. Making  these decisions when you have limited resources and probably cannot mitigate all of your risks will not  be easy. Pursuing win-win solutions or no-regrets actions will be appealing options that make sense  regardless of what the future brings. Steps 610 of the Workbook lead to a climate change action plan:  Step 6Establishing the Context for the Action Plan Identifying opportunities and constraints that will affect your adaptation decisions.BEING PREPARED FOR CLIMATE CHANGE | 11 Introduction and How to Use This Workbook  Step 7Risk Evaluation: Deciding on a Course Deciding at a high level whether you will mitigate, transfer, accept or avoid each risk.  Step 8aFinding Adaptation Actions Finding mitigating actions that look promising for further investigation.  Step 8bSelecting Adaptation Actions Screening potential actions, and selecting a set of risk-reducing actions to implement.  Step 9Preparing and Implementing an Action Plan Creating a plan to track mitigating actions and which risks they address.  Step 10Monitoring and Review Keeping track of your actions and maintaining your vulnerability assessment. This is a planning-level process to identify options. Much more detailed work will need to be done  before any of the actions is ready to be implemented. The final steps in this Workbook set up a process  to track the status of your risks and to identify who will have the lead for various risk mitigation strategies.",STRATEGY IDENTIFICATION,Strategy Selection,NA,A2 - EPA 2014 risk based adaptation planning_workbook,Climate Adaptation,1922,Develop Strategies and Actions
72,"Step 6Establishing the Context for the Action Plan Identifying opportunities and constraints that will affect your adaptation decisions.BEING PREPARED FOR CLIMATE CHANGE | 11 Introduction and How to Use This Workbook  Step 7Risk Evaluation: Deciding on a Course Deciding at a high level whether you will mitigate, transfer, accept or avoid each risk.  Step 8aFinding Adaptation Actions Finding mitigating actions that look promising for further investigation.  Step 8bSelecting Adaptation Actions Screening potential actions, and selecting a set of risk-reducing actions to implement.  Step 9Preparing and Implementing an Action Plan Creating a plan to track mitigating actions and which risks they address.  Step 10Monitoring and Review Keeping track of your actions and maintaining your vulnerability assessment.",GUIDE PURPOSE AND OBJECTIVES,Guide Purpose Statement,NA,A2 - EPA 2014 risk based adaptation planning_workbook,Climate Adaptation,814,Set Goals and Objectives
86,"If you turn to experts or selected stakeholders Carefully consider which risks you would like an expert or selected stakeholders to weigh in on and  whether you would like them to comment on the likelihood or consequence (or both) of that risk. Keep  in mind that the goal here is to generate an initial analysis. Consult with those who can fill in gaps with  particular, needed expertise. In Step 5 you will share what you have done more broadly to help reach  agreement. In this step, you only should do what is necessary to get off to a good start.BEING PREPARED FOR CLIMATE CHANGE | 38 Step 4 If you reach out to others in this step, it will be helpful to communicate the following information:   An overview of the vulnerability assessment process, including identification of your organizations  goals.  Which risks you would like their input on and whether you would like their determination on the  likelihood or consequence (or both) of that risk.  That a qualitative scale is being used to determine the likelihood and consequence for each risk see What you (or those you consult) need to determine below.  The level of effort that is or is not needed right now.  That a justification, rationale or source for their input would be helpfu",COMMUNITY GOAL SETTING AND COORDINATION,Community Goals Identification,NA,A2 - EPA 2014 risk based adaptation planning_workbook,Climate Adaptation,1247,Set Goals and Objectives
102,"Organizational context The political, regulatory and cultural environment  in which your organization exists influences  your ability to take on different projects and  accomplish goals. You want to uncover any  circumstances that might guide you to choose  certain adaptation approaches or prevent you  from selecting others. If you choose to mitigate  a risk you will need to have the organizational  capabilities, resources and commitment to do  what needs to be done. If you decide to accept  or avoid a risk, you need to know how that will  affect not just your goals but your organization  too.",STRATEGY IDENTIFICATION,Strategy Selection,NA,A2 - EPA 2014 risk based adaptation planning_workbook,Climate Adaptation,600,Develop Strategies and Actions
105,"Is mitigation realistic? Mitigating a risk means acting in a way to modify its likelihood or consequence. Right now you simply  want to increase your understanding of the types of actions that would be necessary to lower your risks. BEING PREPARED FOR CLIMATE CHANGE | 57 Step 7 You want to get yourself to the point where you can say that it is realistic to think that a risk could be  lowered if you elected to work on it: then you can make a more informed decision about whether you  want to mitigate each risk or take a different approach. The Climate Ready Estuaries Synthesis of Adaptation Options for Coastal Areas, as well as other  documents (see the Additional Resources section of this step and Step 8a), will provide a sense for  what might work for your location and combination of risks. You might also recognize that some actions  address more than one risk.  While you will not be selecting actions in this step, having some familiarity  with ones your organization could take will be helpful. A fair amount of  work remains in Step 8a and Step 8b before you will select a specific  mitigation technique to use. Do not be too critical right now. In the same  way the Workbook advises not to dismiss risks while you are preparing  your vulnerability assessment, you should not dismiss actions here right  now. You will be tempted to bring in your organizations context or other  knowledge to eliminate possible actions. However, judgments about how  realistic something is will be coming back into this very soon.  For this part of Step 7, just understand what kind of mitigating actions are  in circulation and use your professional knowledge to simply think about  whether any would work to lower your risks if you (or someone else) could  implement them",STRATEGY IDENTIFICATION,Strategy Selection,NA,A2 - EPA 2014 risk based adaptation planning_workbook,Climate Adaptation,1771,Develop Strategies and Actions
106,"Approaches for each risk Although these decisions will be made at a high level, you are deciding an approach for risks that  you determined have the potential to affect your organizations ability to meet its goals. You need to  be prudent as well as aware that how you choose to approach your risks will determine where your  adaptation actions are focused going forward. Your context and constraints will have a big influence on the approach you select. It will be helpful to  consult partners and stakeholders as you determine the approach for each risk. Some risks may be very  important to a stakeholder group, or work may already be underway to address other risks. It will also be  helpful to consider the spatial scale of the impact. You may opt for a different approach depending on  whether it affects a small or large area.  Risk management uses four general approaches for responding to any given risk:  Mitigate.  Transfer.  Accept.  Avoid. Mitigating a risk is the one approach in which your organization would be making changes to the risk  path (Step 3). The other approaches handle risk more administratively.",STRATEGY IDENTIFICATION,Strategy Selection,NA,A2 - EPA 2014 risk based adaptation planning_workbook,Climate Adaptation,1125,Develop Strategies and Actions
108,"Transfer Transfer is a technical risk management term for having another organization take responsibility for  reducing the risk. Your risk is mitigated by another party. Buying an insurance policy is an example of  transferring risk by having another party reduce the consequences if the risk occurs. An environmental  management organization will probably not be buying insurance policies, but transfers can occur when  other organizations will act in ways to reduce your risks. Maybe your risk could be mitigated when a  highway is rebuilt or as part of other infrastructure work. Maybe you can agree to lead a reforestation  effort if a partner agrees to restore some other habitat. Maybe some agency has announced it will  be taking hazard mitigation actions that would have the co-benefit of reducing some of your risk. If  others actions are lowering the likelihood or consequence of your risks then you have transferred the  risk reduction responsibility to them. You arent mitigating the risk, but it is being reduced. Note that  you cannot unilaterally transfer a risk. Other organizations need to affirm that they will actually mitigate  the risk; otherwise the risk will still be there. You can opt to transfer some of a risk by partnering with  another organization or by making a financial contribution to someone elses mitigation project. If you  are working with partner organizations on your adaptation plan, this is an opportunity to decide which  organization is going to be the lead for which risks.",STRATEGY IDENTIFICATION,Strategy Selection,NA,A2 - EPA 2014 risk based adaptation planning_workbook,Climate Adaptation,1519,Develop Strategies and Actions
109,"Accept You may have to consider accepting a risk if you are unable to mitigate or transfer it through a viable  strategy. Accepting a risk means that your organization will continue with business as usual and run the  risk, dealing with the impact if/when it does occur. You might choose to accept a risk for some time,  and then later begin to work on mitigating it. Reasons to accept a risk could include a long time horizon  before impacts are expected, inability to locate a suitable mitigation strategy, or a lack of worry about  the consequence of the risk. If more resources or information become available, you can re-evaluate and  decide if there is an opportunity to use another approach besides accept for a risk.  If you dont make a choice to use any other approach, then by default you have elected to accept a risk.  You are running the risk",STRATEGY IDENTIFICATION,Strategy Selection,NA,A2 - EPA 2014 risk based adaptation planning_workbook,Climate Adaptation,855,Develop Strategies and Actions
110,"Avoid The mitigate/transfer/accept approaches assume that you do not want to change your organizations  goals. If those three approaches are not feasible for you, then you may want to avoid a risk by narrowing  goals that are related to this risk. Avoiding is about being out of the risk altogether so it will not affect  you. Typically, avoiding a risk involves eliminating its root cause. However, since your organization by  itself will not stop climate change from occurring, and since you cannot relocate your place, avoiding  a risk in this context would require a shift in your organizations operations or goals so that you are no  longer exposed to that risk. For example, if one of your goals is to maintain some resource, but you  conclude that climate change is making that a lost cause, you could relinquish that goal. Avoiding a  risk does not mean the impact to the resource or to your place goes awaythis is an administrative  handling of risk in which you move away from this objective and you will no longer put resources toward  it. Avoiding a risk may be a radical move for an organization: you will be pulling back from work that you  thought was important. Reserve this approach for risks that will not be mitigated (by you or others) and  where accepting the risk is a bad proposition.",STRATEGY IDENTIFICATION,Strategy Selection,NA,A2 - EPA 2014 risk based adaptation planning_workbook,Climate Adaptation,1307,Develop Strategies and Actions
111,"Avoid vs. accept The Workbook often states that if more information becomes available you should go back to earlier  steps. In the iterative process of risk management, choosing avoid for a risk appears to be something  new that has lots of other implications for your adaptation plan. If you are renouncing a goal, then all the  risks you identified in Step 3, which derive from that goal, would seem to vanish too. Thus those risks  would fall out of your matrix and vulnerability assessment. If they are not in your vulnerability assessment,  they would not make it into this step of action planning either. Logically, deciding to avoid a risk makes it  and everything related to it disappear. Instead of acting right away on this logic, you should let your choice of avoid sit for now. The  implications to your risks and goals arising from an iteration do not go away but are not an immediate  problem. Instead, you want to leave open the possibility that even more information could be coming.  The risk may turn out to be more benign than you thought; a new risk mitigation technology might  emerge; a new partner may agree to help you with the risk; windfall funding might come in; etc. If you  expunge the risk and the goal from your vulnerability assessment and action plan, you have nothing to  go back to if you do get more information. Keep the risk and the goal, and keep track of the fact that  you chose to avoid the risk. Things might change that would eventually let you select a mitigate/transfer/ accept approach.  Tracking a risk you choose to avoid keeps a goal on the books. You stop working on the goal itself but  do not drop it completely. Pragmatically, it really does not matter what your goal is or is not if you are  not going to put any resources into trying to reach it. The difference between the accept and avoid  approaches to a climate change risk thus become the difference between business as usual toward a  goal and no action toward a goal. Tabl",STRATEGY IDENTIFICATION,Strategy Selection,NA,A2 - EPA 2014 risk based adaptation planning_workbook,Climate Adaptation,1985,Develop Strategies and Actions
